iter	Passed	Remaining
1323	14390	34192
1324	14401	34182
1325	14412	34172
1326	14423	34161
1327	14433	34148
1328	14443	34135
1329	14453	34124
1330	14464	34112
1331	14475	34101
1332	14485	34089
1333	14495	34077
1334	14506	34064
1335	14516	34051
1336	14526	34039
1337	14536	34027
1338	14547	34015
1339	14557	34003
1340	14567	33990
1341	14577	33979
1342	14588	33966
1343	14598	33954
1344	14608	33942
1345	14618	33929
1346	14629	33919
1347	14640	33907
1348	14650	33893
1349	14660	33883
1350	14671	33871
1351	14682	33859
1352	14692	33847
1353	14702	33836
1354	14714	33826
1355	14724	33814
1356	14734	33802
1357	14744	33789
1358	14755	33777
1359	14765	33765
1360	14776	33753
1361	14786	33742
1362	14797	33731
1363	14807	33719
1364	14818	33707
1365	14829	33696
1366	14839	33684
1367	14849	33671
1368	14859	33659
1369	14870	33647
1370	14880	33635
1371	14890	33622
1372	14900	33610
1373	14912	33600
1374	14922	33589
1375	14932	33577
1376	14943	33564
1377	14954	33554
1378	14964	33542
1379	14974	33530
1380	14985	33518
1381	14995	33506
1382	15006	33495
1383	15016	33483
1384	15027	33472
1385	15038	33461
1386	15048	33450
1387	15059	33438
1388	15069	33426
1389	15080	33414
1390	15090	33403
1391	15100	33390
1392	15111	33379
1393	15121	33366
1394	15131	33354
1395	15142	33343
1396	15152	33332
1397	15163	33319
1398	15174	33309
1399	15185	33298
1400	15195	33286
1401	15205	33274
1402	15215	33262
1403	15226	33252
1404	15237	33241
1405	15248	33230
1406	15259	33220
1407	15270	33209
1408	15281	33198
1409	15292	33187
1410	15302	33175
1411	15313	33163
1412	15323	33152
1413	15334	33141
1414	15345	33130
1415	15356	33119
1416	15366	33108
1417	15377	33096
1418	15387	33085
1419	15398	33073
1420	15409	33062
1421	15419	33051
1422	15430	33039
1423	15440	33027
1424	15450	33015
1425	15460	33002
1426	15470	32989
1427	15480	32977
1428	15491	32967
1429	15502	32955
1430	15512	32943
1431	15523	32932
1432	15533	32920
1433	15543	32908
1434	15554	32896
1435	15564	32884
1436	15574	32872
1437	15585	32861
1438	15596	32850
1439	15606	32839
1440	15617	32827
1441	15627	32815
1442	15638	32804
1443	15648	32793
1444	15659	32782
